"Data Source","World Development Indicators",

"Last Updated Date","2026-02-24",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023","2024","2025",
"Bangladesh","BGD","Labor force with advanced education (% of total working-age population with advanced education)","SL.TLF.ADVN.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","72.584","","","","85.838","72.781","","80.094","","","77.52","79.638","","","","","78.087","77.05","74.856","",
"Bulgaria","BGR","Labor force with advanced education (% of total working-age population with advanced education)","SL.TLF.ADVN.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","74.641","73.525","73.204","73.172","73.942","72.41","73.396","74.514","74.732","74.971","74.516","73.073","73.387","73.276","73.922","73.384","74.626","74.304","74.078","75.701","73.791","75.066","75.411","75.743","75.886","",
"Bahrain","BHR","Labor force with advanced education (% of total working-age population with advanced education)","SL.TLF.ADVN.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Bahamas, The","BHS","Labor force with advanced education (% of total working-age population with advanced education)","SL.TLF.ADVN.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","88.098","","","","98.774","","",
"Bosnia and Herzegovina","BIH","Labor force with advanced education (% of total working-age population with advanced education)","SL.TLF.ADVN.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","68.05","","","","","72.946","79.668","80.465","81.256","79.745","83.707","79.758","81.242","81.385","78.958","78.922","77.476","76.564","74.597","79.669","80.05","80.302","81.292","82.572","",
"Belarus","BLR","Labor force with advanced education (% of total working-age population with advanced education)","SL.TLF.ADVN.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","80.852","","","","","","","","","","78.41","","","","","","","82.96","83.763","83.705","83.395","83.37","82.848","83.026","83.426","83.692","",
"Belize","BLZ","Labor force with advanced education (% of total working-age population with advanced education)","SL.TLF.ADVN.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","87.71","83.753","85.712","85.64","84.545","82.79","78.438","85.427","","","","","","",
"Bermuda","BMU","Labor force with advanced education (% of total working-age population with advanced education)","SL.TLF.ADVN.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Bolivia","BOL","Labor force with advanced education (% of total working-age population with advanced education)","SL.TLF.ADVN.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","81.499","82.004","83.472","82.6","83.373","","","","85.598","81.028","84.502","88.627","","71.599","87.075","85.96","87.071","82.311","88.179","","81.712","85.552","81.771","81.953","80.126","78.097","77.886","79.498","82.05","78.413","83.891","85.209","85.982","86.863","",
"Brazil","BRA","Labor force with advanced education (% of total working-age population with advanced education)","SL.TLF.ADVN.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","91.306","90.029","","86.302","","","86.692","85.798","86.3","85.755","84.846","","84.232","84.841","84.231","83.89","84.536","84.296","84.361","83.957","84.326","","82.963","81.678","81.478","82.883","83.271","83.492","83.461","83.228","83.399","80.02","80.86","82.262","82.136","82.268","",
"Barbados","BRB","Labor force with advanced education (% of total working-age population with advanced education)","SL.TLF.ADVN.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","80.284","81.877","82.259","80.593","79.908","","77.577","78.576","79.21","","",
