"Data Source","World Development Indicators",

"Last Updated Date","2026-02-24",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023","2024","2025",
"Bhutan","BTN","Labor force participation rate, male (% of male population ages 15+) (modeled ILO estimate)","SL.TLF.CACT.MA.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","84.662","84.406","84.095","83.725","83.334","82.896","82.421","81.917","81.373","80.497","79.312","78.127","76.981","75.904","74.906","74.192","73.836","73.591","73.338","73.106","72.182","71.652","65.507","71.231","69.851","69.953","69.701","69.454","69.211","71.203","71.913","72.656","72.112","72.149","71.975","71.784",
"Botswana","BWA","Labor force participation rate, male (% of male population ages 15+) (modeled ILO estimate)","SL.TLF.CACT.MA.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","77.954","77.386","76.881","76.341","75.632","74.758","73.843","72.851","72.047","70.291","68.375","68.182","67.928","67.66","67.424","67.18","66.892","67.907","68.846","69.711","66.701","67.281","67.731","67.986","68.154","68.272","68.391","68.553","68.759","68.999","66.519","69.098","69.363","73.195","73.772","73.978",
"Central African Republic","CAF","Labor force participation rate, male (% of male population ages 15+) (modeled ILO estimate)","SL.TLF.CACT.MA.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","78.697","78.98","79.183","79.312","79.387","79.487","79.572","79.584","79.562","79.503","79.416","79.398","79.343","79.238","79.196","79.153","79.2","79.305","79.374","79.699","80.094","80.368","80.808","81.295","81.946","82.365","82.359","82.392","82.42","82.451","81.716","81.519","82.69","82.804","82.803","82.756",
"Canada","CAN","Labor force participation rate, male (% of male population ages 15+) (modeled ILO estimate)","SL.TLF.CACT.MA.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","75.957","74.931","73.702","73.17","72.959","72.305","71.98","72.044","71.939","72.208","72.158","72.075","72.829","73.251","73.016","72.66","72.57","72.626","72.814","72.183","71.756","71.705","71.534","71.405","70.977","70.942","70.526","70.637","70.246","70.476","68.927","69.863","69.547","69.693","69.169","68.937",
"Central Europe and the Baltics","CEB","Labor force participation rate, male (% of male population ages 15+) (modeled ILO estimate)","SL.TLF.CACT.MA.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","65.5975628003678","65.7826587173014","65.6618575134923","65.2523681979034","64.7731661566954","64.2294348276204","63.8900274216583","63.6710537389477","63.3540521929713","62.9649833326168","62.4845261449014","62.6437563343312","62.2600512865521","62.091877376665","62.0515143181081","62.16433842173","62.0774866586594","62.2725517933751","62.7000151669958","62.0754801281849","62.763273989418","62.6687545006532","62.973428989827","63.1930205782977","63.7229920138766","64.0639180888491","64.241022340164","64.83981836774","64.9426246032483","65.1577939617302","65.1329280999385","65.6255067012606","65.7841276474407","65.6468957200245","65.1522299072437","64.8515646725538",
"Switzerland","CHE","Labor force participation rate, male (% of male population ages 15+) (modeled ILO estimate)","SL.TLF.CACT.MA.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","78.594","78.703","78.141","78.113","76.904","77.012","78.737","78.47","78.408","78.018","77.67","77.358","76.702","76.745","75.912","75.041","75.34","75.71","75.416","75.233","74.332","74.742","74.547","74.242","74.214","74.278","74.575","74.546","74.307","73.719","73.483","72.981","72.361","72.664","71.789","71.378",
"Channel Islands","CHI","Labor force participation rate, male (% of male population ages 15+) (modeled ILO estimate)","SL.TLF.CACT.MA.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","69.77","69.952","69.945","70.184","70.43","70.615","70.472","70.419","70.548","70.316","70.102","69.822","69.332","69.019","68.997","68.839","68.56","68.27","68.135","67.863","67.444","67.318","67.4","66.63","67.004","67.022","66.55","66.304","66.032","65.671","64.759","64.966","64.769","64.366","64.019","63.652",
"Chile","CHL","Labor force participation rate, male (% of male population ages 15+) (modeled ILO estimate)","SL.TLF.CACT.MA.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","74.671","75.147","75.908","76.144","76.233","76.764","77.097","76.317","76.214","75.751","74.661","73.847","73.112","72.769","72.052","71.785","72.9","72.879","73.3","72.441","74.235","74.844","74.509","74.264","74.232","74.452","74.162","74.418","74.239","73.721","67.516","68.773","70.482","71.298","72.019","71.927",
"China","CHN","Labor force participation rate, male (% of male population ages 15+) (modeled ILO estimate)","SL.TLF.CACT.MA.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","85.112","84.679","84.237","83.786","83.324","82.853","82.372","81.881","81.38","80.869","80.347","80.131","79.913","79.692","79.469","79.243","79.016","78.787","78.556","78.323","78.089","77.899","77.33","76.764","76.324","75.848","75.29","74.606","73.904","73.328","71.607","72.918","71.389","71.334","70.267","69.851",
"Cote d'Ivoire","CIV","Labor force participation rate, male (% of male population ages 15+) (modeled ILO estimate)","SL.TLF.CACT.MA.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","82.735","82.628","82.496","82.357","82.205","82.048","81.898","81.758","81.64","80.986","80.327","79.662","78.989","78.309","77.626","76.938","76.247","75.551","74.83","74.094","73.366","72.643","71.923","72.695","73.469","74.253","75.036","74.288","73.528","72.758","72.886","74.219","74.866","74.649","74.421","74.406",
"Cameroon","CMR","Labor force participation rate, male (% of male population ages 15+) (modeled ILO estimate)","SL.TLF.CACT.MA.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","87.084","87.09","87.08","87.038","86.97","86.877","86.747","86.582","86.425","86.294","86.169","86.029","85.878","85.743","85.64","85.564","85.502","85.437","84.388","83.274","82.092","80.96","79.782","78.558","77.287","76.782","76.334","75.919","75.491","75.02","73.934","73.711","74.236","74.194","74.14","73.941",
