"Data Source","World Development Indicators",

"Last Updated Date","2026-02-24",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023","2024","2025",
"Bangladesh","BGD","Labor force with intermediate education (% of total working-age population with intermediate education)","SL.TLF.INTM.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","49.671","","","","49.249","41.443","","55.81","","","51.31","48.491","","","","","63.771","63.641","60.194","",
"Bulgaria","BGR","Labor force with intermediate education (% of total working-age population with intermediate education)","SL.TLF.INTM.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","65.085","65.684","64.833","64.867","65.454","64.292","65.966","66.937","67.559","65.39","64.484","62.109","62.542","62.459","61.568","60.981","59.419","61.947","61.106","61.299","60.176","58.276","59.477","58.742","56.85","",
"Bahrain","BHR","Labor force with intermediate education (% of total working-age population with intermediate education)","SL.TLF.INTM.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Bahamas, The","BHS","Labor force with intermediate education (% of total working-age population with intermediate education)","SL.TLF.INTM.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","82.364","","","","97.488","","",
"Bosnia and Herzegovina","BIH","Labor force with intermediate education (% of total working-age population with intermediate education)","SL.TLF.INTM.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","69.226","","","","","61.741","61.484","60.575","59.14","59.298","58.418","58.572","56.774","57.687","57.265","55.196","54.58","54.182","53.338","57.621","60.519","60.672","61.308","61.842","",
"Belarus","BLR","Labor force with intermediate education (% of total working-age population with intermediate education)","SL.TLF.INTM.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","74.577","","","","","","","","","","69.002","","","","","","","71.863","71.514","70.749","70.348","69.442","69.514","69.564","68.839","68.805","",
"Belize","BLZ","Labor force with intermediate education (% of total working-age population with intermediate education)","SL.TLF.INTM.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","74.06","68.05","69.464","69.792","70.195","67.59","73.549","72.375","","","","","","",
"Bermuda","BMU","Labor force with intermediate education (% of total working-age population with intermediate education)","SL.TLF.INTM.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Bolivia","BOL","Labor force with intermediate education (% of total working-age population with intermediate education)","SL.TLF.INTM.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","54.557","56.108","55.79","48.652","49.046","","","","63.358","63.423","66.092","62.841","","59.743","64.362","68.08","63.348","66.52","68.105","","65.763","67.456","64.369","66.566","65.084","63.334","63.283","66.707","71.482","67.85","76.471","77.164","76.752","78.256","",
"Brazil","BRA","Labor force with intermediate education (% of total working-age population with intermediate education)","SL.TLF.INTM.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","81.77","81.459","","77.933","","","78.343","77.78","78.725","78.874","78.868","","78.673","79.415","79.23","79.451","80.513","79.79","79.65","79.396","79.798","","77.42","82.91","83.064","82.993","79.523","75.639","75.991","75.656","76.258","70.406","73.273","74.442","73.666","73.693","",
"Barbados","BRB","Labor force with intermediate education (% of total working-age population with intermediate education)","SL.TLF.INTM.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","74.984","77.055","75.569","74.825","74.124","","67.918","72.643","71.859","","",
"Brunei Darussalam","BRN","Labor force with intermediate education (% of total working-age population with intermediate education)","SL.TLF.INTM.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","67.845","","","66.006","67.907","67.005","67.49","67.579","69.019","68.608","70.25","",
"Bhutan","BTN","Labor force with intermediate education (% of total working-age population with intermediate education)","SL.TLF.INTM.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","51.93","53.17","","","","43.49","48.97","","","78.516","83.087","86.331","85.105","78.895","58.865","57.106","",
"Botswana","BWA","Labor force with intermediate education (% of total working-age population with intermediate education)","SL.TLF.INTM.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","100","","","63.313","62.51","","","","","","","","","63.116","64.264","64.863","64.016","67.711","67.558","",
"Central African Republic","CAF","Labor force with intermediate education (% of total working-age population with intermediate education)","SL.TLF.INTM.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Canada","CAN","Labor force with intermediate education (% of total working-age population with intermediate education)","SL.TLF.INTM.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","73.683","73.228","71.843","70.995","70.793","70.462","70.443","70.217","69.896","70.431","70.049","69.706","70.83","70.522","70.731","69.867","69.456","69.683","69.26","68.134","67.767","67.26","66.822","66.408","65.403","64.288","63.903","63.753","62.506","62.502","60.227","60.388","61.102","60.933","59.773","",
"Central Europe and the Baltics","CEB","Labor force with intermediate education (% of total working-age population with intermediate education)","SL.TLF.INTM.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","71.9818190220961","71.1106243663096","70.7291901323726","69.927037017267","69.5869012907839","68.2675043796307","67.4285678583933","66.8315340089291","65.8206872739399","65.5378645967119","64.9259930826103","64.6780597210656","64.0609784074911","64.0671305341608","63.3874403081123","63.3133347367024","62.8103398025179","62.6112598475548","61.8755575318363","61.8328744756237","62.1180018145077","61.7761937450384","61.2188786946997","60.6185050277786","60.3804500130393","60.6522883677568","60.3429670277101","60.4983823671653","",
"Switzerland","CHE","Labor force with intermediate education (% of total working-age population with intermediate education)","SL.TLF.INTM.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","70.371","66.621","67.253","66.912","67.328","70.204","69.822","70.539","70.329","70.56","69.171","69.559","69.415","68.491","68.186","68.382","68.345","68.393","67.882","67.484","67.379","67.15","66.215","67.154","67.072","67.35","66.883","66.458","66.034","65.558","66.088","65.743","65.753","65.553","",
"Channel Islands","CHI","Labor force with intermediate education (% of total working-age population with intermediate education)","SL.TLF.INTM.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
